,date,total,total_p,house,house_p,senate,senate_p,dems,dems_p,gop,gop_p,total_r,dems_r,gop_r,house_r,senate_r
181,2015-06-21,9832,1512,6922,1107,2899,405,4709,595,4919,892,0.15378356387306755,0.1263537906137184,0.18133767025818257,0.15992487720312049,0.13970334598137288
182,2015-06-28,7322,808,5308,636,2000,171,3593,326,3535,466,0.11035236274242011,0.09073197884775953,0.13182461103253182,0.11981914091936699,0.0855
183,2015-07-05,9536,1254,7006,984,2519,269,4736,627,4615,597,0.13150167785234898,0.13239020270270271,0.12936078006500543,0.14045104196403083,0.10678840809845176
184,2015-07-12,11204,1444,7918,1015,3274,429,5639,407,5348,1009,0.12888254194930382,0.07217591771590708,0.18866866118175019,0.12818893660015154,0.1310323762981063
185,2015-07-19,9445,1382,6721,951,2714,431,4338,449,4891,901,0.1463208046585495,0.10350391885661595,0.1842159067675322,0.14149680107126916,0.15880619012527636
186,2015-07-26,8851,1221,6049,831,2784,390,4193,439,4425,760,0.1379505140662072,0.1046983067016456,0.17175141242937852,0.13737807902132584,0.1400862068965517
187,2015-08-02,8473,1315,5525,823,2932,491,4383,439,3794,808,0.15519886698926,0.10015970796258271,0.2129678439641539,0.14895927601809955,0.167462482946794
188,2015-08-09,6893,796,4612,553,2245,241,3325,241,3304,525,0.11547947192804295,0.0724812030075188,0.15889830508474576,0.11990459670424979,0.10734966592427617
189,2015-08-16,6944,797,4816,564,2109,233,3166,229,3548,534,0.11477534562211981,0.07233101705622236,0.15050732807215333,0.11710963455149502,0.11047889995258417
190,2015-08-23,7469,739,5406,512,2045,227,3295,241,3982,468,0.09894229481858348,0.07314112291350532,0.11752887995981919,0.09470958194598594,0.11100244498777506
191,2015-08-30,6738,771,4686,540,2046,229,2886,195,3644,547,0.11442564559216385,0.06756756756756757,0.15010976948408342,0.11523687580025609,0.11192570869990225
192,2015-09-06,8326,1538,5736,1055,2582,483,3479,391,4575,1114,0.18472255584914726,0.1123886174187985,0.24349726775956285,0.1839260808926081,0.18706429124709528
193,2015-09-13,10431,1668,6929,1125,3491,543,4839,710,5279,884,0.15990796663790624,0.14672452986154164,0.16745595756772116,0.16236109106653196,0.15554282440561443
194,2015-09-20,9069,1028,6138,645,2921,383,4425,478,4356,512,0.11335318116661153,0.1080225988700565,0.11753902662993572,0.1050830889540567,0.1311194796302636
195,2015-09-27,9678,1456,6620,1026,3045,429,4682,707,4712,706,0.15044430667493283,0.15100384451089277,0.149830220713073,0.15498489425981873,0.14088669950738916
196,2015-10-04,9228,1315,6361,885,2849,427,4232,593,4706,668,0.14250108365843087,0.14012287334593573,0.14194645133871653,0.13912906775664205,0.14987714987714987
197,2015-10-11,8274,961,5459,635,2810,326,3920,305,4116,604,0.1161469664007735,0.0778061224489796,0.1467444120505345,0.11632167063564755,0.11601423487544484
